Time,EP_con_kWh,EP_gen_kWh
20484000,0.413051459828,0.1347
20487600,0.413833014997,0.1246
20491200,0.413780697906,0.12522
20494800,0.41710770433,0.12522
20498400,0.407810251729,0.13527
20502000,0.446353323733,0.1845
20505600,0.424280656395,0.16531
20509200,0.358927177336,0.13723
20512800,0.374085444258,0.12913
20516400,0.373057399527,0.12932
20520000,0.390253756605,0.14255
20523600,0.457332820014,0.19921
20527200,0.410323476861,0.19122
20530800,0.416646916608,0.19281
20534400,0.426192344827,0.19897
20538000,0.426732132345,0.19913
20541600,0.482888033082,0.20263
20545200,0.502505595543,0.21396
20548800,0.526739323622,0.2232
20552400,0.548290128021,0.24328
20556000,0.500821914438,0.23302
20559600,0.504723144367,0.2144
20563200,0.492815047952,0.1849
20566800,0.497345289619,0.1696
20570400,0.494443636828,0.14844
20574000,0.508859856397,0.14243
20577600,0.531017089266,0.14961
20581200,0.553118073067,0.15954
20584800,0.568162697329,0.16876
20588400,0.557062565468,0.15988
20592000,0.507937032854,0.14998
20595600,0.445720519977,0.13973
20599200,0.405175654755,0.12971
20602800,0.389125173138,0.12751
20606400,0.381831754087,0.12822
20610000,0.381229777405,0.12947
20613600,0.385120344853,0.12946
